,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"857","Nokia","E61i",5.29,4.61,2.76,0.55,4.7,360,6.99798,31.2093606923,2007.0630136986
"859","Samsung","SGH-A437 / A436",2.9,3.74,1.89,0.63,5,250,4.453218,37.3985920178,2007.0712328767
"844","Sony","Ericsson Z310",3.2,3.4,1.8,1,7,300,6.12,35.9442060086,2007.0821917808
"856","Motorola","W385",3.88,3.9,1.77,0.72,4.2,450,4.97016,53.2193768248,2007.0821917808
"881","Nokia","5700",4.06,4.26,1.99,0.68,3.5,288,5.764632,31.0953122723,2007.0821917808
"841","Nokia","N76",4.06,4.19,2.05,0.54,2.8,200,4.63833,24.6024236836,2007.104109589
"843","Samsung","SGH-A727",2.82,4.51,2.01,0.35,3,250,3.172785,44.2198410255,2007.104109589
"822","Nokia","N95",4.4,3.9,2.09,0.83,2.7,215,6.76533,20.4651362745,2007.1068493151
"866","BlackBerry","8800",4.73,4.49,2.6,0.55,5,528,6.4207,49.5932990754,2007.1178082192
"864","Sony","Ericsson K550 / W610",3,4,1.8,0.5,7,350,3.6,58.3333333333,2007.1232876712
"865","Samsung","Ultra Edition 10.9 / U600",2.87,4.06,1.94,0.43,4.5,345,3.386852,58.7356069794,2007.1232876712
"863","HP","iPAQ 510 Voice Messenger",3.6,4.21,1.91,0.64,6.5,188,5.146304,25.2106489781,2007.1260273973
"862","Motorola","W490 / W510 / W5",3.77,3.9,1.81,0.69,7.5,350,4.87071,44.8458517876,2007.1369863014
"867","Motorola","ic902 Deluxe",4.76,3.78,1.96,0.86,3.2,147,6.371568,14.6430404054,2007.1424657534
"950","LG","AX-145 / AX-140 / Aloha / UX-140 / 200c",3.03,3.5,1.93,0.89,3,150,6.01195,18.2482760909,2007.1589041096
"870","Sanyo","SCP-7050",4.1,3.6,2,1.1,4.4,1000,7.92,85.0249584027,2007.1643835616
"871","Nokia","E90",7.41,5.2,2.24,0.79,5.8,336,9.20192,21.9721741978,2007.1671232877
"872","HTC","Mogul / XV6800 / PPC6800 / P4000",5.8,4.33,2.32,0.73,5.4,340,7.333288,27.9442588939,2007.1753424658
"873","Sanyo","SCP-3200",3.4,3.5,1.8,0.8,3.8,920,5.04,111.2559241706,2007.1808219178
"824","HTC","Wing / P4350 (Herald)",5.93,4.3,2.3,0.7,5,200,6.923,17.5056407064,2007.1835616438
"875","UTStarcom","Super Slice / CDM-1450",2.5,4.4,1.9,0.4,4.5,230,3.344,43.2067077344,2007.1835616438
"930","LG","Muziq / AX-565 / UX-565",3.14,3.8,1.94,0.61,4,800,4.49692,107.3731294815,2007.1835616438
